"country","ElevationAverageElevationMeters","ElevationAverageElevationFeet"
"India",621,2037
"China",1840,6037
"Indonesia",367,1204
"Pakistan",900,2953
"Nigeria",380,1247
"Brazil",320,1050
"Bangladesh",85,279
"Russia",600,1969
"Ethiopia",1330,4364
"Mexico",1111,3645
"Japan",438,1437
"Egypt",321,1053
"Philippines",442,1450
"DR Congo",726,2382
"Vietnam",398,1306
"Iran",1305,4281
"Turkey",1141,3743
"Germany",263,863
"Thailand",287,942
"United Kingdom",75,531
"Tanzania",1018,3340
"France",375,1230
"South Africa",1034,3392
"Italy",538,1765
"Kenya",762,2500
"Myanmar",702,2303
"Colombia",593,1946
"South Korea",282,925
"Sudan",568,1864
"Uganda",1100,3609
"Spain",660,2165
"Algeria",800,2625
"Iraq",312,1024
"Argentina",595,1952
"Afghanistan",1884,6181
"Yemen",999,3278
"Canada",487,1598
"Poland",173,568
"Morocco",909,2982
"Angola",1112,3648
"Ukraine",175,574
"Uzbekistan",450,1476
"Malaysia",538,1765
"Mozambique",345,1132
"Ghana",190,623
"Peru",1555,5102
"Saudi Arabia",665,2182
"Madagascar",442,1450
"Ivory Coast",250,820
"Nepal",3265,10712
"Cameroon",667,2188
"Venezuela",450,1476
"Niger",474,1555
"Australia",330,1083
"North Korea",400,1312
"Syria",514,1686
"Mali",343,343
"Burkina Faso",297,974
"Taiwan",1150,3773
"Sri Lanka",228,748
"Malawi",779,2556
"Zambia",1138,3734
"Kazakhstan",387,1270
"Chad",543,1781
"Chile",1871,6138
"Romania",414,1358
"Somalia",410,1345
"Senegal",69,226
"Guatemala",759,2490
"Netherlands",30,98
"Ecuador",1117,3665
"Cambodia",126,413
"Zimbabwe",961,3153
"Guinea",472,1549
"Benin",273,896
"Rwanda",1598,5243
"Burundi",1504,4934
"Bolivia",1192,3911
"Tunisia",246,807
"Haiti",470,1542
"Belgium",181,594
"Jordan",920,3018
"Dominican Republic",424,1391
"United Arab Emirates",149,489
"Cuba",108,354
"Honduras",684,2244
"Czech Republic",430,1411
"Sweden",320,1050
"Tajikistan",3186,10453
"Papua New Guinea",667,2188
"Portugal",372,1220
"Azerbaijan",384,1260
"Greece",498,1634
"Hungary",143,469
"Togo",236,774
"Israel",508,1667
"Austria",910,2986
"Belarus",170,558
"Switzerland",1350,4429
"Sierra Leone",279,915
"Laos",710,2329
"Turkmenistan",230,755
"Libya",423,1388
"Kyrgyzstan",2989,9806
"Paraguay",178,584
"Nicaragua",298,978
"Bulgaria",470,1542
"Serbia",473,1552
"El Salvador",442,1450
"Republic of the Congo",430,1411
"Denmark",34,112
"Singapore",15,49
"Lebanon",1250,4101
"Finland",164,538
"Liberia",243,797
"Norway",460,1509
"Slovakia",458,1503
"Central African Republic",635,2083
"Oman",310,1017
"Ireland",118,387
"New Zealand",388,1273
"Mauritania",276,906
"Costa Rica",746,2448
"Kuwait",108,354
"Panama",360,1181
"Croatia",331,1086
"Georgia",1432,4698
"Eritrea",853,2799
"Mongolia",1580,5184
"Uruguay",109,358
"Bosnia and Herzegovina",500,1640
"Qatar",28,92
"Moldova",139,456
"Namibia",1141,3743
"Armenia",1792,5879
"Lithuania",110,361
"Jamaica",340,1115
"Albania",708,2323
"Gambia",34,112
"Gabon",377,1237
"Botswana",1013,3323
"Lesotho",2161,7090
"Guinea-Bissau",70,230
"Slovenia",492,1614
"Equatorial Guinea",577,1893
"Latvia",87,285
"North Macedonia",741,
"Trinidad and Tobago",83,272
"Estonia",61,200
"Cyprus",91,299
"Eswatini",305,1001
"Djibouti",430,1411
"Guyana",207,679
"Bhutan",3280,10761
"Luxembourg",325,1066
"Montenegro",1086,3563
"Suriname",246,807
"Maldives",1.5,5
"Brunei",478,1568
"Belize",173,568
"Iceland",557,1827
"Vanuatu",398,1306
"Kiribati",2,7
"Andorra",1996,6549
"Greenland",1792,5879
"Marshall Islands",2,7
"Tuvalu",2,6